participant,anchor,optionA,optionB,chosen,timestamp
Drake,bi-hot-1,ia-dawn-in-the-adan,kg-kg-3,kg-kg-3,low,2026-01-23T18:46:53.392Z
Drake,kg-kg-2,db-bm-1,db-pii-1,db-bm-1,high,2026-01-23T18:47:12.427Z
Drake,ik-1,cc-vanished,cn-1,cn-1,low,2026-01-23T18:47:19.964Z
Drake,bi-hot-3,ik-2,bi-hot-1,bi-hot-1,high,2026-01-23T18:47:25.550Z
Drake,ik-5,kg-kg-3,ia-iam-pod-0,ia-iam-pod-0,high,2026-01-23T18:47:28.082Z
Drake,cn-1,bo-orlando,st-1,bo-orlando,high,2026-01-23T18:47:37.811Z
Drake,bo-benzo,ia-dawn-in-the-adan,bo-minetta-creek,bo-minetta-creek,high,2026-01-23T18:47:46.522Z
Drake,bi-hot-2,sjb-cdl-2,db-rch-1,sjb-cdl-2,high,2026-01-23T20:16:34.055Z
Drake,bo-always-let-you-down,ss-fantasy,bi-hot-2,ss-fantasy,low,2026-01-23T20:16:45.656Z
Drake,dh-neon-kitchen,tcn-tcn-1,bo-benzo,bo-benzo,high,2026-01-23T20:16:51.109Z
Drake,db-pii-1,bo-orlando,ss-fantasy,far,equal,2026-01-23T20:16:55.820Z
Drake,cc-knights,bi-hot-2,ik-5,bi-hot-2,low,2026-01-23T20:17:04.251Z
Drake,cc-knights,dh-fucking-your-girl,dbt-rinsed-1,dh-fucking-your-girl,high,2026-01-23T20:17:13.521Z
Drake,kg-kg-3,cn-1,ik-2,cn-1,low,2026-01-23T20:17:22.078Z
Drake,bo-benzo,kg-kg-3,db-pii-1,far,equal,2026-01-23T20:17:50.784Z
Drake,st-1,lcc-kk-2,db-rch-1,lcc-kk-2,high,2026-01-23T20:18:19.454Z
Drake,db-1,bo-always-let-you-down,bo-orlando,bo-always-let-you-down,high,2026-01-23T20:18:26.721Z
Drake,lcc-kk-1,bo-minetta-creek,db-bm2-1,close,equal,2026-01-23T20:18:36.476Z
Drake,kg-kg-2,ss-genocide,db-rch-1,far,equal,2026-01-23T20:18:45.860Z
Drake,db-1,ik-5,dh-fucking-your-girl,dh-fucking-your-girl,high,2026-01-23T20:18:56.800Z
Drake,rh-3,sjb-cdl-2,st-1,st-1,high,2026-01-23T20:18:59.832Z
Drake,db-rch-1,dh-neon-kitchen,db-bm2-1,far,equal,2026-01-23T20:19:04.365Z
Drake,bi-hot-1,st-3,ia-iam-pod-0,ia-iam-pod-0,high,2026-01-23T20:19:09.864Z
Drake,bi-hot-3,ik-2,st-3,ik-2,low,2026-01-23T20:19:31.127Z
Drake,lcc-kk-1,ik-1,db-1,ik-1,low,2026-01-23T20:19:39.790Z
Drake,lcc-kk-2,kg-kg-3,tcn-tcn-1,tcn-tcn-1,low,2026-01-23T20:19:51.030Z
Drake,ia-asleep-among-endives,bo-benzo,ik-2,ik-2,high,2026-01-23T20:20:00.812Z
Drake,rh-1,bo-benzo,ss-genocide,bo-benzo,high,2026-01-23T20:20:07.481Z
Drake,bo-always-let-you-down,kg-kg-3,ia-iam-pod-0,kg-kg-3,low,2026-01-23T20:20:11.859Z
Drake,bo-benzo,bi-hot-1,ik-4,bi-hot-1,low,2026-01-23T20:20:18.298Z
Drake,sjb-cdl-2,bi-hot-2,lcc-kk-2,close,equal,2026-01-23T20:20:32.069Z
Drake,bo-minetta-creek,ia-dawn-in-the-adan,ik-5,ia-dawn-in-the-adan,low,2026-01-23T20:21:05.803Z
Drake,ss-fantasy,db-pii-1,db-1,db-1,high,2026-01-23T20:21:11.650Z
Drake,kg-kg-1,kg-kg-2,dbt-rinsed-1,kg-kg-2,high,2026-01-23T20:21:14.384Z
Drake,ss-genocide,bo-always-let-you-down,kg-kg-2,bo-always-let-you-down,low,2026-01-23T20:21:30.307Z
Drake,kg-kg-3,dh-neon-kitchen,bo-orlando,bo-orlando,low,2026-01-23T20:21:45.281Z
Drake,bi-hot-2,sjb-cdl-1,ik-5,sjb-cdl-1,low,2026-01-23T20:21:54.868Z
Drake,bi-hot-1,st-1,dh-neon-kitchen,st-1,low,2026-01-23T20:21:58.229Z
Drake,kg-kg-1,cc-vanished,bi-hot-3,bi-hot-3,high,2026-01-23T20:22:02.616Z
Drake,cc-vanished,dh-neon-kitchen,ia-asleep-among-endives,dh-neon-kitchen,high,2026-01-23T20:22:07.784Z
Drake,st-3,cn-1,rh-1,far,equal,2026-01-23T20:22:12.834Z
Drake,rh-3,db-bm2-1,ik-5,db-bm2-1,high,2026-01-23T20:22:15.679Z
Drake,db-rch-1,sjb-cdl-2,bo-always-let-you-down,bo-always-let-you-down,low,2026-01-23T20:22:22.723Z
Drake,db-bm2-1,db-1,lcc-kk-1,db-1,high,2026-01-23T20:22:25.471Z
Drake,rh-3,kg-kg-2,bi-hot-2,kg-kg-2,high,2026-01-23T20:22:40.030Z
Drake,rh-2,bo-youre-not-good-enough,dh-fucking-your-girl,dh-fucking-your-girl,high,2026-01-23T20:22:44.839Z
Drake,sjb-cdl-1,st-1,kg-kg-1,kg-kg-1,2,2026-01-23T21:05:03.880Z
Drake,dbt-rinsed-1,ik-2,bo-always-let-you-down,ik-2,2,2026-01-23T21:05:15.898Z
Drake,bo-youre-not-good-enough,db-bm-1,cc-knights,db-bm-1,1,2026-01-23T21:05:51.080Z
Drake,ik-1,ss-fantasy,ik-2,ik-2,3,2026-01-23T21:05:58.109Z
Drake,sjb-cdl-2,db-1,cn-1,db-1,3,2026-01-23T21:07:07.250Z
Drake,ss-genocide,kg-kg-3,rh-2,rh-2,1,2026-01-23T21:07:30.818Z
Drake,cc-knights,st-1,bo-always-let-you-down,bo-always-let-you-down,3,2026-01-23T21:07:35.752Z
Drake,tcn-tcn-1,ik-2,sjb-cdl-1,sjb-cdl-1,2,2026-01-23T21:07:53.380Z
Drake,bo-minetta-creek,dh-fucking-your-girl,rh-1,rh-1,2,2026-01-23T21:08:01.561Z
Drake,st-1,ik-2,dh-neon-kitchen,ik-2,3,2026-01-23T21:08:13.418Z
Drake,cc-vanished,ss-fantasy,kg-kg-2,ss-fantasy,1,2026-01-23T21:08:18.244Z
Drake,st-3,cc-knights,kg-kg-2,kg-kg-2,3,2026-01-23T21:08:34.974Z
Drake,bi-hot-2,rh-3,ss-fantasy,rh-3,2,2026-01-23T21:08:43.378Z
Drake,ik-3,sjb-cdl-2,st-3,sjb-cdl-2,3,2026-01-23T21:08:50.918Z
Drake,dh-neon-kitchen,st-1,cc-knights,cc-knights,3,2026-01-23T21:08:59.028Z
Drake,st-3,ik-2,bo-orlando,bo-orlando,3,2026-01-24T21:09:40.333Z
Drake,rh-1,ik-3,st-1,st-1,3,2026-01-24T21:09:51.468Z
Drake,bo-youre-not-good-enough,ss-fantasy,lcc-kk-2,ss-fantasy,3,2026-01-24T21:15:38.818Z
Drake,cn-1,rh-1,cc-knights,cc-knights,2,2026-01-24T21:15:50.185Z
Drake,tcn-tcn-1,ia-iam-pod-0,ik-2,ik-2,2,2026-01-24T21:16:03.379Z
Drake,st-3,st-1,ss-fantasy,st-1,3,2026-01-24T21:16:09.693Z
Drake,kg-kg-1,bi-hot-1,kg-kg-2,kg-kg-2,3,2026-01-24T21:16:18.694Z
Drake,lcc-kk-2,tcn-tcn-1,st-1,st-1,3,2026-01-24T21:16:28.780Z
Drake,ik-4,ss-fantasy,rh-1,rh-1,3,2026-01-24T21:16:39.112Z
Drake,cn-1,rh-2,db-bm-1,db-bm-1,3,2026-01-24T21:16:49.435Z
Drake,kg-kg-1,db-1,kg-kg-2,kg-kg-2,3,2026-01-24T21:16:58.167Z
Drake,bi-hot-3,bo-youre-not-good-enough,ik-2,bo-youre-not-good-enough,2,2026-01-24T21:17:12.097Z
Drake,db-bm-1,ik-3,ia-dawn-in-the-adan,ik-3,2,2026-01-24T21:17:19.540Z
Drake,bo-benzo,ia-asleep-among-endives,rh-1,rh-1,3,2026-01-24T21:17:31.485Z
Drake,bo-minetta-creek,db-bm2-1,kg-kg-2,db-bm2-1,2,2026-01-24T21:17:48.914Z
Drake,ss-fantasy,bo-minetta-creek,st-1,bo-minetta-creek,2,2026-01-24T21:17:58.386Z
Drake,ik-5,sjb-cdl-1,db-bm-1,sjb-cdl-1,3,2026-01-24T21:18:11.448Z
Drake,sjb-cdl-1,kg-kg-2,ia-dawn-in-the-adan,ia-dawn-in-the-adan,3,2026-01-24T21:18:45.342Z
Drake,st-3,ik-2,dh-fucking-your-girl,ik-2,2,2026-01-24T21:18:57.990Z
Drake,rh-3,db-bm-1,ik-3,db-bm-1,2,2026-01-24T21:19:04.303Z
Drake,ia-dawn-in-the-adan,bo-minetta-creek,ik-2,ik-2,2,2026-01-24T21:22:00.754Z
Drake,kg-kg-2,ia-iam-pod-0,st-1,st-1,3,2026-01-24T21:22:05.790Z
Drake,dh-neon-kitchen,bo-minetta-creek,db-bm-1,bo-minetta-creek,3,2026-01-24T21:22:34.897Z
Drake,dh-neon-kitchen,ss-genocide,db-bm-1,db-bm-1,2,2026-01-24T21:22:50.676Z
Drake,db-1,st-1,bo-benzo,st-1,2,2026-01-24T21:23:05.544Z
Drake,bo-always-let-you-down,rh-1,sjb-cdl-2,sjb-cdl-2,2,2026-01-24T21:23:22.459Z
Drake,bi-hot-1,kg-kg-2,ia-iam-pod-0,kg-kg-2,2,2026-01-24T21:23:30.094Z
Drake,kg-kg-1,bo-always-let-you-down,db-bm-1,bo-always-let-you-down,1,2026-01-24T21:23:42.246Z
Drake,bi-hot-2,cn-1,cc-vanished,cn-1,3,2026-01-24T21:23:46.416Z
Drake,st-1,tcn-tcn-1,kg-kg-1,kg-kg-1,3,2026-01-24T21:23:54.044Z
Drake,bi-hot-3,cc-knights,cn-1,cn-1,3,2026-01-24T21:23:58.338Z
Drake,st-1,lcc-kk-1,ia-asleep-among-endives,ia-asleep-among-endives,2,2026-01-24T21:24:09.285Z
Drake,dh-fucking-your-girl,ss-fantasy,lcc-kk-1,lcc-kk-1,1,2026-01-24T21:24:18.553Z
Drake,kg-kg-2,st-1,dbt-rinsed-1,st-1,3,2026-01-24T21:24:23.220Z
Drake,bo-always-let-you-down,lcc-kk-1,cc-knights,lcc-kk-1,2,2026-01-24T21:24:27.350Z
Drake,kg-kg-2,kg-kg-1,rh-1,kg-kg-1,3,2026-01-24T21:24:31.199Z
Drake,bi-hot-1,bo-orlando,kg-kg-2,bo-orlando,3,2026-01-24T21:24:43.773Z
Drake,bo-orlando,tcn-tcn-1,rh-2,tcn-tcn-1,2,2026-01-24T21:24:53.091Z
Drake,ss-genocide,db-bm-1,dh-neon-kitchen,dh-neon-kitchen,2,2026-01-24T21:24:59.991Z
Drake,db-pii-1,kg-kg-3,db-bm-1,db-bm-1,3,2026-01-24T21:25:04.459Z
Drake,ik-2,kg-kg-3,dh-fucking-your-girl,dh-fucking-your-girl,1,2026-01-26T02:30:42.873Z
Drake,bi-hot-2,rh-1,ia-dawn-in-the-adan,rh-1,2,2026-01-26T02:31:25.139Z
Drake,kg-kg-2,bo-benzo,bi-hot-3,bi-hot-3,2,2026-01-26T02:31:48.395Z
Drake,rh-2,ik-2,db-bm2-1,db-bm2-1,1,2026-01-26T02:31:57.327Z
Drake,dbt-rinsed-1,sjb-cdl-1,db-rch-1,db-rch-1,2,2026-01-26T02:32:05.586Z
Drake,bo-always-let-you-down,db-rch-1,ik-4,db-rch-1,2,2026-01-26T02:32:18.215Z
Drake,st-3,cc-vanished,kg-kg-3,kg-kg-3,2,2026-01-26T02:32:25.461Z
Drake,kg-kg-2,dh-neon-kitchen,lcc-kk-1,lcc-kk-1,2,2026-01-26T02:32:49.574Z
Drake,bo-benzo,ia-asleep-among-endives,tcn-tcn-1,tcn-tcn-1,1,2026-01-26T02:32:54.808Z
Drake,bo-minetta-creek,db-1,ik-4,db-1,1,2026-01-26T02:33:03.469Z
Drake,cc-vanished,sjb-cdl-1,db-1,db-1,3,2026-01-26T02:33:11.999Z
Drake,kg-kg-2,cn-1,ik-5,cn-1,3,2026-01-26T02:33:21.855Z
Drake,ia-dawn-in-the-adan,bi-hot-2,lcc-kk-1,lcc-kk-1,3,2026-01-26T02:33:32.048Z
Drake,ik-2,lcc-kk-1,ia-dawn-in-the-adan,ia-dawn-in-the-adan,2,2026-01-26T02:33:43.494Z
Drake,rh-3,ik-2,ia-iam-pod-0,ik-2,2,2026-01-26T02:33:48.001Z
Drake,ik-4,db-1,dbt-rinsed-1,dbt-rinsed-1,3,2026-01-26T02:34:10.872Z
Drake,ik-1,ik-2,ik-4,ik-2,3,2026-01-26T02:34:37.570Z
Drake,db-rch-1,bi-hot-3,dbt-rinsed-1,dbt-rinsed-1,3,2026-01-26T02:34:42.407Z
Drake,db-1,lcc-kk-1,st-3,lcc-kk-1,1,2026-01-26T02:34:54.742Z
Drake,ik-4,dbt-rinsed-1,db-bm-1,dbt-rinsed-1,1,2026-01-26T02:35:03.736Z
Drake,ik-3,ss-fantasy,ik-5,ik-5,3,2026-01-26T04:32:39.680Z
Drake,ia-asleep-among-endives,bi-hot-1,tcn-tcn-1,bi-hot-1,3,2026-01-26T04:32:44.833Z
Drake,bo-minetta-creek,ik-3,tcn-tcn-1,tcn-tcn-1,3,2026-01-26T04:33:18.591Z
Drake,lcc-kk-1,dh-neon-kitchen,kg-kg-2,kg-kg-2,3,2026-01-26T04:33:28.367Z
Drake,st-3,ik-1,dh-fucking-your-girl,dh-fucking-your-girl,2,2026-01-26T04:33:38.493Z
Drake,rh-2,ik-1,ik-5,ik-5,3,2026-01-26T04:33:46.978Z
Drake,bi-hot-3,dh-neon-kitchen,db-1,dh-neon-kitchen,2,2026-01-26T04:34:13.692Z
Drake,bo-youre-not-good-enough,db-bm-1,ss-fantasy,ss-fantasy,3,2026-01-26T04:34:22.423Z
Drake,ik-1,kg-kg-3,ss-fantasy,ss-fantasy,3,2026-01-26T04:34:27.498Z
Drake,dbt-rinsed-1,ss-genocide,tcn-tcn-1,tcn-tcn-1,3,2026-01-26T04:34:31.662Z
Drake,db-1,ik-5,st-3,st-3,1,2026-01-26T04:34:42.522Z
Drake,kg-kg-1,ss-genocide,ik-2,ss-genocide,3,2026-01-26T04:35:17.008Z
Drake,bi-hot-1,bo-benzo,db-bm-1,bo-benzo,3,2026-01-26T04:35:40.561Z
Drake,lcc-kk-1,kg-kg-3,bo-orlando,bo-orlando,3,2026-01-26T04:36:04.883Z
Drake,ia-iam-pod-0,tcn-tcn-1,ss-fantasy,ss-fantasy,2,2026-01-26T04:36:14.731Z
Drake,kg-kg-1,tcn-tcn-1,dh-fucking-your-girl,dh-fucking-your-girl,3,2026-01-28T16:06:36.872Z
Drake,ia-asleep-among-endives,st-3,bo-benzo,bo-benzo,3,2026-01-28T16:06:47.446Z
Drake,sjb-cdl-1,ik-5,kg-kg-1,ik-5,3,2026-01-28T16:07:52.830Z
Drake,tcn-tcn-1,db-1,cc-knights,db-1,2,2026-01-28T16:08:02.538Z
Drake,rh-3,ik-2,db-bm2-1,db-bm2-1,3,2026-01-28T16:08:09.124Z
Drake,ss-fantasy,bo-benzo,ik-5,bo-benzo,3,2026-01-28T16:08:15.880Z
Drake,cc-vanished,ik-1,cc-knights,cc-knights,3,2026-01-28T16:08:25.038Z
Drake,st-1,st-3,dh-neon-kitchen,st-3,3,2026-01-28T16:08:29.192Z
Drake,ia-dawn-in-the-adan,bo-minetta-creek,ss-genocide,bo-minetta-creek,3,2026-01-28T16:08:36.142Z
Drake,bo-orlando,ik-5,cc-vanished,ik-5,2,2026-01-28T16:10:27.306Z
Drake,ik-4,bo-youre-not-good-enough,ik-1,ik-1,3,2026-01-28T16:10:37.144Z
Drake,db-pii-1,st-3,ik-4,ik-4,3,2026-01-28T16:10:47.099Z
Drake,bi-hot-2,db-1,rh-3,rh-3,2,2026-01-28T16:10:54.193Z
Drake,kg-kg-1,tcn-tcn-1,cc-knights,tcn-tcn-1,2,2026-01-28T16:10:58.950Z
Drake,db-1,st-3,dbt-rinsed-1,dbt-rinsed-1,3,2026-01-28T16:11:03.039Z
Drake,kg-kg-2,rh-3,lcc-kk-1,rh-3,2,2026-01-28T16:11:19.432Z
Drake,rh-1,ik-5,bo-always-let-you-down,ik-5,3,2026-01-28T16:11:28.216Z
Drake,bo-youre-not-good-enough,ik-1,bo-orlando,bo-orlando,3,2026-01-28T16:11:37.276Z
Drake,rh-2,db-bm2-1,st-3,db-bm2-1,2,2026-01-28T16:12:15.334Z
Drake,bo-minetta-creek,lcc-kk-2,ik-2,lcc-kk-2,1,2026-01-28T16:12:20.509Z
