participant,anchor,optionA,optionB,chosen,timestamp
p8,db-1,st-3,rh-3,rh-3,2026-01-22T03:13:41.839Z
p8,ik-1,st-1,db-3,st-1,2026-01-22T03:13:41.839Z
p8,ik-3,st-3,db-1,db-1,2026-01-22T03:13:41.839Z
p8,st-2,ik-3,st-1,st-1,2026-01-22T03:13:41.839Z
p8,st-1,st-2,ik-1,st-2,2026-01-22T03:13:41.839Z
p8,ik-2,st-1,rh-2,st-1,2026-01-22T03:13:41.839Z
p8,db-1,rh-1,ca-2,ca-2,2026-01-22T03:13:41.839Z
p8,db-3,ik-2,fo-1,fo-1,2026-01-22T03:13:41.839Z
p8,db-1,ik-3,rh-2,rh-2,2026-01-22T03:13:41.839Z
p8,fo-2,st-2,ik-2,st-2,2026-01-22T03:13:41.839Z
p8,st-3,ik-3,ik-2,ik-2,2026-01-22T03:13:41.839Z
p8,ca-2,rh-2,st-1,st-1,2026-01-22T03:13:41.839Z
p8,ca-1,ik-2,st-1,ik-2,2026-01-22T03:13:41.839Z
p8,db-2,fo-2,ik-2,ik-2,2026-01-22T03:13:41.839Z
p8,ca-1,ik-1,st-1,ik-1,2026-01-22T03:13:41.839Z
p8,ca-1,ik-4,rh-1,rh-1,2026-01-22T03:13:41.839Z
p8,rh-2,st-3,ik-3,st-3,2026-01-22T03:13:41.839Z
p8,ik-2,ik-1,fo-1,ik-1,2026-01-22T03:13:41.839Z
p8,ik-1,st-2,ik-4,ik-4,2026-01-22T03:13:41.839Z
p8,ca-2,db-3,rh-3,rh-3,2026-01-22T03:13:41.839Z
p8,rh-3,db-3,ik-2,db-3,2026-01-22T03:13:41.839Z
p8,db-1,db-2,rh-1,db-2,2026-01-22T03:13:41.839Z
p8,fo-2,st-1,rh-3,st-1,2026-01-22T03:13:41.839Z
p8,rh-1,ik-1,ca-2,ik-1,2026-01-22T03:13:41.839Z
p8,rh-3,fo-1,ik-4,ik-4,2026-01-22T03:13:41.839Z
p8,db-1,ca-1,st-2,ca-1,2026-01-22T03:13:41.839Z
p8,ik-2,st-2,db-1,db-1,2026-01-22T03:13:41.839Z
p8,st-1,ik-1,ik-2,ik-2,2026-01-22T03:13:41.839Z
p8,ik-3,ik-2,st-1,ik-2,2026-01-22T03:13:41.839Z
p8,rh-2,db-3,ik-1,db-3,2026-01-22T03:13:41.839Z
p8,rh-2,ik-2,st-2,st-2,2026-01-22T03:13:41.839Z
p8,rh-1,db-1,ik-4,db-1,2026-01-22T03:13:41.839Z
p8,st-1,ik-4,fo-2,ik-4,2026-01-22T03:13:41.839Z
p8,st-3,rh-1,db-1,rh-1,2026-01-22T03:13:41.839Z
p8,rh-3,st-1,db-2,db-2,2026-01-22T03:13:41.839Z
p8,db-1,ik-1,ik-4,ik-1,2026-01-22T03:13:41.839Z
p8,rh-2,ik-3,ik-1,ik-3,2026-01-22T03:13:41.839Z
p8,ik-1,ik-3,rh-2,ik-3,2026-01-22T03:13:41.839Z
p8,st-1,ik-1,rh-1,rh-1,2026-01-22T03:13:41.839Z
p8,st-1,fo-1,ca-2,ca-2,2026-01-22T03:13:41.839Z
p9,fo-1,st-3,rh-1,rh-1,2026-01-22T03:13:41.839Z
p9,db-2,ca-1,st-1,ca-1,2026-01-22T03:13:41.839Z
p9,st-2,ik-3,st-3,st-3,2026-01-22T03:13:41.839Z
p9,st-1,fo-2,ik-1,fo-2,2026-01-22T03:13:41.839Z
p9,db-2,db-1,ik-4,db-1,2026-01-22T03:13:41.839Z
p9,rh-2,ik-4,rh-3,ik-4,2026-01-22T03:13:41.839Z
p9,st-2,rh-1,db-3,rh-1,2026-01-22T03:13:41.839Z
p9,rh-2,fo-1,db-2,fo-1,2026-01-22T03:13:41.839Z
p9,ik-4,db-3,fo-1,fo-1,2026-01-22T03:13:41.839Z
p9,db-1,db-3,ik-3,db-3,2026-01-22T03:13:41.839Z
p9,ik-1,fo-2,db-2,db-2,2026-01-22T03:13:41.839Z
p9,ca-2,fo-2,fo-1,fo-2,2026-01-22T03:13:41.839Z
p9,db-1,fo-2,st-1,fo-2,2026-01-22T03:13:41.839Z
p9,db-2,rh-3,ik-2,rh-3,2026-01-22T03:13:41.839Z
p9,fo-2,fo-1,st-1,fo-1,2026-01-22T03:13:41.839Z
p9,fo-2,rh-1,st-3,rh-1,2026-01-22T03:13:41.839Z
p9,rh-3,fo-2,fo-1,fo-1,2026-01-22T03:13:41.839Z
p9,rh-1,fo-2,st-1,fo-2,2026-01-22T03:13:41.839Z
p9,ik-4,db-1,st-1,st-1,2026-01-22T03:13:41.839Z
p9,db-2,st-3,rh-1,rh-1,2026-01-22T03:13:41.839Z
p9,db-1,db-3,ik-4,db-3,2026-01-22T03:13:41.839Z
p9,ik-2,ca-2,fo-1,ca-2,2026-01-22T03:13:41.839Z
p9,ca-1,ca-2,db-2,ca-2,2026-01-22T03:13:41.839Z
p9,st-3,ik-2,rh-1,rh-1,2026-01-22T03:13:41.839Z
p9,rh-1,st-1,st-2,st-2,2026-01-22T03:13:41.839Z
p9,ca-1,ca-2,ik-2,ca-2,2026-01-22T03:13:41.839Z
p9,rh-3,ik-2,fo-2,ik-2,2026-01-22T03:13:41.839Z
p9,rh-2,ik-4,fo-1,fo-1,2026-01-22T03:13:41.839Z
p9,ik-1,st-3,db-1,db-1,2026-01-22T03:13:41.839Z
p9,ik-2,db-1,ik-4,ik-4,2026-01-22T03:13:41.839Z
p9,rh-1,ik-1,ik-3,ik-3,2026-01-22T03:13:41.839Z
p9,st-1,ik-2,fo-1,fo-1,2026-01-22T03:13:41.839Z
p9,db-3,db-1,ca-2,ca-2,2026-01-22T03:13:41.839Z
p9,ik-4,ik-3,fo-2,ik-3,2026-01-22T03:13:41.839Z
p9,st-3,rh-1,st-2,rh-1,2026-01-22T03:13:41.839Z
p9,st-3,ca-1,db-1,ca-1,2026-01-22T03:13:41.839Z
p9,db-2,rh-1,rh-2,rh-2,2026-01-22T03:13:41.839Z
p9,fo-2,db-3,ca-1,db-3,2026-01-22T03:13:41.839Z
p9,ca-2,db-2,fo-1,db-2,2026-01-22T03:13:41.839Z
p9,ca-1,st-2,ik-1,ik-1,2026-01-22T03:13:41.839Z
p9,rh-3,db-3,rh-1,db-3,2026-01-22T03:13:41.839Z
p9,st-3,ik-4,ca-1,ik-4,2026-01-22T03:13:41.839Z
p9,rh-3,ik-2,fo-1,ik-2,2026-01-22T03:13:41.839Z
p9,fo-2,ik-3,rh-2,rh-2,2026-01-22T03:13:41.839Z
p9,st-1,st-3,rh-1,st-3,2026-01-22T03:13:41.839Z
p9,ik-4,rh-2,db-3,db-3,2026-01-22T03:13:41.839Z
p9,ik-4,st-2,ca-1,ca-1,2026-01-22T03:13:41.839Z
p9,ca-1,db-1,rh-3,db-1,2026-01-22T03:13:41.839Z
p9,ik-3,db-2,fo-1,db-2,2026-01-22T03:13:41.839Z
p9,fo-1,ca-2,rh-1,rh-1,2026-01-22T03:13:41.839Z
p10,st-3,fo-1,db-2,fo-1,2026-01-22T03:13:41.839Z
p10,db-1,st-2,st-3,st-2,2026-01-22T03:13:41.839Z
p10,ik-4,ca-2,db-2,ca-2,2026-01-22T03:13:41.839Z
p10,rh-1,fo-2,ik-3,fo-2,2026-01-22T03:13:41.839Z
p10,db-2,st-1,db-3,db-3,2026-01-22T03:13:41.839Z
p10,db-1,fo-1,db-3,db-3,2026-01-22T03:13:41.839Z
p10,ik-2,fo-1,st-2,st-2,2026-01-22T03:13:41.839Z
p10,st-3,ca-2,rh-3,ca-2,2026-01-22T03:13:41.839Z
p10,db-1,ca-2,ik-3,ca-2,2026-01-22T03:13:41.839Z
p10,ik-1,fo-2,rh-1,rh-1,2026-01-22T03:13:41.839Z
p10,ik-2,ik-4,st-1,ik-4,2026-01-22T03:13:41.839Z
p10,rh-2,st-3,st-1,st-1,2026-01-22T03:13:41.839Z
p10,st-3,st-2,ik-1,st-2,2026-01-22T03:13:41.839Z
p10,ik-2,st-1,ik-4,ik-4,2026-01-22T03:13:41.839Z
p10,ik-4,st-3,db-1,st-3,2026-01-22T03:13:41.839Z
p10,ik-2,fo-2,db-1,fo-2,2026-01-22T03:13:41.839Z
p10,st-2,fo-2,rh-2,rh-2,2026-01-22T03:13:41.839Z
p10,ca-1,ik-1,fo-2,ik-1,2026-01-22T03:13:41.839Z
p10,ca-2,st-2,st-1,st-2,2026-01-22T03:13:41.839Z
p10,ik-2,rh-1,fo-2,rh-1,2026-01-22T03:13:41.839Z
p10,ca-2,rh-3,ik-3,ik-3,2026-01-22T03:13:41.839Z
p10,rh-2,st-3,ca-1,st-3,2026-01-22T03:13:41.839Z
p10,ca-1,rh-1,ik-3,ik-3,2026-01-22T03:13:41.839Z
p10,fo-1,ca-1,db-1,ca-1,2026-01-22T03:13:41.839Z
p10,st-2,ik-2,ik-3,ik-2,2026-01-22T03:13:41.839Z
p10,ca-2,st-3,fo-1,fo-1,2026-01-22T03:13:41.839Z
p10,fo-2,rh-2,ik-1,rh-2,2026-01-22T03:13:41.839Z
p10,db-3,fo-1,st-1,fo-1,2026-01-22T03:13:41.839Z
p10,ca-2,st-2,fo-1,fo-1,2026-01-22T03:13:41.839Z
p10,ik-2,st-2,db-1,st-2,2026-01-22T03:13:41.840Z
p10,ik-1,fo-2,db-1,db-1,2026-01-22T03:13:41.840Z
p10,rh-3,st-3,st-1,st-1,2026-01-22T03:13:41.840Z
p10,db-3,rh-3,st-1,rh-3,2026-01-22T03:13:41.840Z
p10,ik-4,ca-2,db-3,ca-2,2026-01-22T03:13:41.840Z
p10,fo-2,ca-1,ik-2,ca-1,2026-01-22T03:13:41.840Z
p10,db-3,st-2,rh-1,rh-1,2026-01-22T03:13:41.840Z
p10,ik-2,db-3,ik-1,ik-1,2026-01-22T03:13:41.840Z
p10,rh-2,st-1,ik-2,st-1,2026-01-22T03:13:41.840Z
p10,db-2,rh-2,ik-1,rh-2,2026-01-22T03:13:41.840Z
p10,st-3,st-1,ca-2,st-1,2026-01-22T03:13:41.840Z
p10,ca-1,rh-3,db-2,db-2,2026-01-22T03:13:41.840Z
p10,fo-1,ik-4,ca-2,ca-2,2026-01-22T03:13:41.840Z
p10,rh-1,st-1,ca-2,st-1,2026-01-22T03:13:41.840Z
p10,rh-2,ik-1,st-3,st-3,2026-01-22T03:13:41.840Z
p10,st-2,rh-1,ca-2,rh-1,2026-01-22T03:13:41.840Z
p10,ik-1,db-3,rh-1,rh-1,2026-01-22T03:13:41.840Z
p10,ik-1,ca-1,rh-1,ca-1,2026-01-22T03:13:41.840Z
p10,st-3,db-2,fo-1,db-2,2026-01-22T03:13:41.840Z
p10,st-1,rh-2,fo-2,rh-2,2026-01-22T03:13:41.840Z
p10,db-3,ik-2,ik-4,ik-4,2026-01-22T03:13:41.840Z
